child_id;parent_id;y_label
РЕЛИГИЯ;КРЕСТНЫЙ РОДИТЕЛЬ;0
ХРИСТИАНСТВО;КРЕСТНЫЙ РОДИТЕЛЬ;0
ПРАВОВАЯ СИСТЕМА;НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ;0
ТОРГОВЛЯ;НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ;0
ПРЕСТУПЛЕНИЕ;НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ;0
ВОДОСНАБЖЕНИЕ;ЗАБОР ВОДЫ;0
ЭКОНОМИКА;ЗАБОР ВОДЫ;0
КОММУНАЛЬНОЕ ХОЗЯЙСТВО;ЗАБОР ВОДЫ;0
ФИЛОЛОГИЯ;ФРАНЦУЗСКИЙ ЯЗЫК;0
ВЫБОРЫ;ГОРОДСКАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ;0
ПРАВОВАЯ СИСТЕМА;ПОДВЕДОМСТВЕННОСТЬ СУДАМ;0
СУДОУСТРОЙСТВО;ПОДВЕДОМСТВЕННОСТЬ СУДАМ;0
ДВИГАТЕЛЬ ВНУТРЕННЕГО СГОРАНИЯ;КАРБЮРАТОР;0
НАУКА;СЕЙСМИЧЕСКАЯ СТАНЦИЯ;0
ИНОСТРАННОЕ ГОСУДАРСТВО;ЗАРУБЕЖНЫЙ МИР;0
ЭКОНОМИКА;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;0
ФИНАНСОВАЯ СФЕРА;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;0
ТУРИЗМ;ПУТЕШЕСТВИЕ;0
ПРОМЫШЛЕННОСТЬ;ЖЕВАТЕЛЬНАЯ РЕЗИНКА;0
ЭКОНОМИКА;ЖЕВАТЕЛЬНАЯ РЕЗИНКА;0
ИСКУССТВО;САКСОФОН;0
МУЗЫКАЛЬНОЕ ИСКУССТВО;САКСОФОН;0
БИОЛОГИЯ;БУРУНДУК;0
ЗООЛОГИЯ;БУРУНДУК;0
ОБЕСЦЕНИВАНИЕ НАЦИОНАЛЬНОЙ ВАЛЮТЫ;ИНФЛЯЦИЯ;0
ЭКОНОМИКА;ИНФЛЯЦИЯ;0
СУДОХОДСТВО;МОСТИК (ПЛОЩАДКА);0
