child_id;parent_id;y_label
КРЕСТНЫЙ ОТЕЦ;КРЕСТНЫЙ РОДИТЕЛЬ;1
ОБМАН ПОКУПАТЕЛЕЙ;НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ;1
ВОЕННАЯ ТАКТИКА;ТАКТИКА, ТАКТИЧЕСКИЕ ДЕЙСТВИЯ;1
УСМЕШКА;УЛЫБКА;1
РЕЦЕПТУРА ЛЕКАРСТВА;РЕЦЕПТ ПРИГОТОВЛЕНИЯ;1
КУЛИНАРНЫЙ РЕЦЕПТ;РЕЦЕПТ ПРИГОТОВЛЕНИЯ;1
ЧИТАТЕЛЬ БИБЛИОТЕКИ;ПОСЕТИТЕЛЬ;1
ЗАВСЕГДАТАЙ;ПОСЕТИТЕЛЬ;1
БУХГАЛТЕРСКИЙ БАЛАНС;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
ОКУПАЕМОСТЬ КАПИТАЛЬНЫХ ВЛОЖЕНИЙ;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
ПЛАТЕЖЕСПОСОБНОСТЬ;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
МОНЕТИЗАЦИЯ ЭКОНОМИКИ;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
СОБИРАЕМОСТЬ ПЛАТЕЖЕЙ;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
ПОКАЗАТЕЛЬ ДЕЯТЕЛЬНОСТИ БАНКА;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
ПОКАЗАТЕЛЬ ДОХОДНОСТИ;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
РЫНОЧНАЯ КАПИТАЛИЗАЦИЯ;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
ЛИКВИДНОСТЬ (ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ);ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ;1
ТУРИЗМ;ПУТЕШЕСТВИЕ;1
ПАЛОМНИЧЕСТВО;ПУТЕШЕСТВИЕ;1
КРУИЗ;ПУТЕШЕСТВИЕ;1
КРУГОВОЙ ТУР;ПУТЕШЕСТВИЕ;1
СПОРТИВНЫЙ ПОХОД;ПУТЕШЕСТВИЕ;1
АВТОСТОП (ПУТЕШЕСТВИЕ);ПУТЕШЕСТВИЕ;1
СТРАНСТВОВАТЬ, БРОДИТЬ ПО СВЕТУ;ПУТЕШЕСТВИЕ;1
РАЗЪЕЗЖАТЬ С МЕСТА НА МЕСТО;ПУТЕШЕСТВИЕ;1
ТУРИСТИЧЕСКАЯ ПОЕЗДКА;ПУТЕШЕСТВИЕ;1
КРУГОСВЕТНОЕ ПУТЕШЕСТВИЕ;ПУТЕШЕСТВИЕ;1
САФАРИ (ПУТЕШЕСТВИЕ);ПУТЕШЕСТВИЕ;1
ПУТЕШЕСТВИЕ ПОД ПАРУСОМ;ПУТЕШЕСТВИЕ;1
КУДРЯВЫЙ, КУРЧАВЫЙ;ВНЕШНЯЯ ЧЕРТА;1
ЧЕТКИЙ, ЧЕТКО ОЧЕРЧЕННЫЙ;ВНЕШНЯЯ ЧЕРТА;1
ЗЕРКАЛЬНЫЙ (ГЛАДКИЙ И БЛЕСТЯЩИЙ);ВНЕШНЯЯ ЧЕРТА;1
ЖЕМЧУЖНЫЙ ЦВЕТ;ВНЕШНЯЯ ЧЕРТА;1
ГЛЯНЦЕВЫЙ (БЛЕСТЯЩИЙ);ВНЕШНЯЯ ЧЕРТА;1
ПЕРЕЛИВЧАТЫЙ, С ПЕРЕЛИВАМИ;ВНЕШНЯЯ ЧЕРТА;1
МАТОВЫЙ, НЕГЛЯНЦЕВЫЙ;ВНЕШНЯЯ ЧЕРТА;1
НЕЧЕТКИЙ, НЕОТЧЕТЛИВЫЙ;ВНЕШНЯЯ ЧЕРТА;1
УХОЖЕННЫЙ ВИД;ВНЕШНЯЯ ЧЕРТА;1
РОГАТЫЙ, С РОГАМИ;ВНЕШНЯЯ ЧЕРТА;1
ПОМЯТЫЙ (УТОМЛЕННЫЙ);ВНЕШНЯЯ ЧЕРТА;1
ЖЕНСТВЕННОСТЬ;ВНЕШНЯЯ ЧЕРТА;1
ОСОБЕННОСТИ ТЕЛОСЛОЖЕНИЯ;ВНЕШНЯЯ ЧЕРТА;1
ЗАПУЩЕННЫЙ, НЕУХОЖЕННЫЙ;ВНЕШНЯЯ ЧЕРТА;1
ГЛАВА ЦЕРКВИ;ГЛАВА ОРГАНИЗАЦИИ;1
ПРЕЗИДЕНТ ОРГАНИЗАЦИИ;ГЛАВА ОРГАНИЗАЦИИ;1
ГЛАВА ПРЕДПРИЯТИЯ;ГЛАВА ОРГАНИЗАЦИИ;1
ДИРЕКТОР ОРГАНИЗАЦИИ;ГЛАВА ОРГАНИЗАЦИИ;1
ПРЕДСЕДАТЕЛЬ ОРГАНИЗАЦИИ;ГЛАВА ОРГАНИЗАЦИИ;1
РАЗБРОСАТЬ, РАСШВЫРЯТЬ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
МЕТАТЬ, БРОСАТЬ С РАЗМАХОМ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
СБРОСИТЬ ВНИЗ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ПОДБРОСИТЬ ВВЕРХ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ВБРОСИТЬ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ОТБРОСИТЬ В СТОРОНУ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ПЕРЕБРОСИТЬ, БРОСИТЬ ЧЕРЕЗ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ЗАБРОСИТЬ (БРОСИТЬ КУДА-ТО ИЛИ ДАЛЕКО);БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ПОДБРОСИТЬ ДОПОЛНИТЕЛЬНО;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
БРОСАТЬСЯ, БРОСАТЬ ДРУГ В ДРУГА;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ПОСЛАТЬ (БРОСИТЬ, НАПРАВИТЬ);БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
БАХНУТЬ, ШАРАХНУТЬ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ПЕРЕБРОСИТЬ (ПРОМАХНУТЬСЯ);БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ПЕРЕДАЧА МЯЧА, ШАЙБЫ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
БРОСОК МЯЧА, ШАЙБЫ;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
БОРЦОВСКИЙ БРОСОК;БРОСИТЬ (ПЕРЕМЕСТИТЬ);1
ГИПЕРИНФЛЯЦИЯ;ИНФЛЯЦИЯ;1
ЗАБЕЖАТЬ, ЗАСКОЧИТЬ (ЗАЙТИ НЕНАДОЛГО);ЗАЙТИ ПО ПУТИ;1
НЕПРИХОТЛИВЫЙ, НЕПРИТЯЗАТЕЛЬНЫЙ;УМЕРЕННЫЙ (СРЕДНИЙ);1
ПОЧЕЧНАЯ НЕДОСТАТОЧНОСТЬ;ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА;1
СЕРДЕЧНАЯ НЕДОСТАТОЧНОСТЬ;ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА;1
ПЛАВКА МЕТАЛЛОВ;ВАРКА (ТЕХНОЛОГИЧЕСКИЙ ПРОЦЕСС);1
ОПРОС ОБЩЕСТВЕННОГО МНЕНИЯ;ОПРОС, ОПРАШИВАНИЕ;1
АНКЕТИРОВАНИЕ;ОПРОС, ОПРАШИВАНИЕ;1
РАССАДИТЬ ПО МЕСТАМ;САЖАТЬ, УСАЖИВАТЬ;1
ПЕРЕСАДИТЬ, ПОСАДИТЬ НА ДРУГОЕ МЕСТО;САЖАТЬ, УСАЖИВАТЬ;1
СОРТИРОВАТЬ, ОТСОРТИРОВАТЬ;РАЗОБРАТЬ (НАВЕСТИ ПОРЯДОК);1
РАЗГРЕСТИ (НАВЕСТИ ПОРЯДОК);РАЗОБРАТЬ (НАВЕСТИ ПОРЯДОК);1
ИНДИГО (КРАСИТЕЛЬ);КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ;1
ОХРА;КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ;1
КАРМИН (КРАСКА);КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ;1
МЕДИЦИНСКИЙ ИНСТИТУТ;МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ;1
МЕДИЦИНСКОЕ УЧИЛИЩЕ;МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ;1
НЕОБУЗДАННЫЙ;БЕЗУДЕРЖНЫЙ, НЕУДЕРЖИМЫЙ;1
СОСКОБЛИТЬ, ОТСКОБЛИТЬ;ОЧИСТИТЬ ВЕРХНИЙ СЛОЙ;1
ОНКОГЕМОТАЛОГИЯ;ОНКОЛОГИЯ;1
НЕДОСТАЧА;ФИНАНСОВОЕ НАРУШЕНИЕ;1
ФИНАНСОВОЕ ПРЕСТУПЛЕНИЕ;ФИНАНСОВОЕ НАРУШЕНИЕ;1
"АВТОМОБИЛЬ ""ГАЗЕЛЬ""";АВТОМОБИЛЬ ГАЗ;1
АРМИРОВАТЬ (УВЕЛИЧИТЬ ПРОЧНОСТЬ ВВЕДЕНИЕМ АРМАТУРЫ);УПРОЧНИТЬ (СДЕЛАТЬ ПРОЧНЕЕ, КРЕПЧЕ);1
БИОИНЖЕНЕРИЯ;БИОТЕХНОЛОГИЯ;1
МУЗЫКАЛЬНОЕ ПРОИЗВЕДЕНИЕ;СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО);1
ЛИТЕРАТУРНОЕ ПРОИЗВЕДЕНИЕ;СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО);1
СТАТЬЯ (ТЕКСТ);СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО);1
ПАРОДИЯ (КОМИЧЕСКОЕ ИЛИ САТИРИЧЕСКОЕ ПОДРАЖАНИЕ);СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО);1
УСМИРИТЬ (СДЕЛАТЬ СМИРНЫМ);УСПОКОИТЬ, УТИХОМИРИТЬ;1
УКРОТИТЬ, ОБУЗДАТЬ;УСПОКОИТЬ, УТИХОМИРИТЬ;1
ГОРОДСКАЯ ЗЕМЛЯ;ГОРОДСКАЯ СОБСТВЕННОСТЬ;1
РАВВИН;СЛУЖИТЕЛЬ КУЛЬТА;1
ХРИСТИАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ;СЛУЖИТЕЛЬ КУЛЬТА;1
МОНАХ;СЛУЖИТЕЛЬ КУЛЬТА;1
МУСУЛЬМАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ;СЛУЖИТЕЛЬ КУЛЬТА;1
ЦЕРКОВНОСЛУЖИТЕЛЬ;СЛУЖИТЕЛЬ КУЛЬТА;1
РЕЛИГИОЗНЫЙ ПРОПОВЕДНИК;СЛУЖИТЕЛЬ КУЛЬТА;1
ЖРЕЦ;СЛУЖИТЕЛЬ КУЛЬТА;1
ШАМАН (СЛУЖИТЕЛЬ КУЛЬТА);СЛУЖИТЕЛЬ КУЛЬТА;1
ВИКАРИЙ, ПОМОЩНИК ЕПИСКОПА;СЛУЖИТЕЛЬ КУЛЬТА;1
ЦЕРКОВНЫЙ ИЕРАРХ;СЛУЖИТЕЛЬ КУЛЬТА;1
КАПЕЛЛАН;СЛУЖИТЕЛЬ КУЛЬТА;1
МОНАХИНЯ;СЛУЖИТЕЛЬ КУЛЬТА;1
МАГИСТР ОРДЕНА;СЛУЖИТЕЛЬ КУЛЬТА;1
ЧУДОДЕЙСТВЕННЫЙ;ЭФФЕКТИВНЫЙ;1
ТЕХНОЛОГИЧНЫЙ;ЭФФЕКТИВНЫЙ;1
ЭЛЕКТРОГИТАРА;ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ;1
СИНТЕЗАТОР;ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ;1
АРКА (СООРУЖЕНИЕ);ВОРОТА (ВХОД);1
