child_id,parent_id
РЕЛИГИЯ,КРЕСТНЫЙ РОДИТЕЛЬ
ХРИСТИАНСТВО,КРЕСТНЫЙ РОДИТЕЛЬ
ПРАВОВАЯ СИСТЕМА,НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ
ТОРГОВЛЯ,НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ
ПРЕСТУПЛЕНИЕ,НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ
ЭКОНОМИКА,ЗАБОР ВОДЫ
КОММУНАЛЬНОЕ ХОЗЯЙСТВО,ЗАБОР ВОДЫ
ФИЛОЛОГИЯ,ФРАНЦУЗСКИЙ ЯЗЫК
ВЫБОРЫ,ГОРОДСКАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ
ПРАВОВАЯ СИСТЕМА,ПОДВЕДОМСТВЕННОСТЬ СУДАМ
СУДОУСТРОЙСТВО,ПОДВЕДОМСТВЕННОСТЬ СУДАМ
НАУКА,СЕЙСМИЧЕСКАЯ СТАНЦИЯ
ЭКОНОМИКА,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
ФИНАНСОВАЯ СФЕРА,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
ТУРИЗМ,ПУТЕШЕСТВИЕ
ПРОМЫШЛЕННОСТЬ,ЖЕВАТЕЛЬНАЯ РЕЗИНКА
ЭКОНОМИКА,ЖЕВАТЕЛЬНАЯ РЕЗИНКА
ИСКУССТВО,САКСОФОН
МУЗЫКАЛЬНОЕ ИСКУССТВО,САКСОФОН
БИОЛОГИЯ,БУРУНДУК
ЗООЛОГИЯ,БУРУНДУК
ЭКОНОМИКА,ИНФЛЯЦИЯ
СУДОХОДСТВО,МОСТИК (ПЛОЩАДКА)
МЕДИЦИНА,ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА
ФИЗИОЛОГИЧЕСКАЯ НАУКА,ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА
ВООРУЖЕННЫЙ КОНФЛИКТ,ЗАВОЕВАТЬ В ХОДЕ ВОЙНЫ
АНТРОПОЛОГИЯ,ТАМИЛЫ
ПРОМЫШЛЕННОСТЬ,ВАРКА (ТЕХНОЛОГИЧЕСКИЙ ПРОЦЕСС)
АНТРОПОЛОГИЯ,ЛИВАНЦЫ
ОТДЫХ,ОПЕРНЫЙ СПЕКТАКЛЬ
ИСКУССТВО,ОПЕРНЫЙ СПЕКТАКЛЬ
МУЗЫКАЛЬНОЕ ИСКУССТВО,ОПЕРНЫЙ СПЕКТАКЛЬ
ТЕАТРАЛЬНОЕ ИСКУССТВО,ОПЕРНЫЙ СПЕКТАКЛЬ
ФИЛОЛОГИЯ,ОПЕРНЫЙ СПЕКТАКЛЬ
ЛИТЕРАТУРА,ОПЕРНЫЙ СПЕКТАКЛЬ
МЕДИЦИНА,ФЛЮОРОГРАФИЧЕСКОЕ ОБСЛЕДОВАНИЕ
ФОТОИСКУССТВО,ФЛЮОРОГРАФИЧЕСКОЕ ОБСЛЕДОВАНИЕ
РАДИАЦИОННАЯ МЕДИЦИНА,ФЛЮОРОГРАФИЧЕСКОЕ ОБСЛЕДОВАНИЕ
СПОРТ,ДЗЮДО
СПОРТИВНАЯ БОРЬБА,ДЗЮДО
МОДА,ВАЛЕНКИ
ОБУВЬ,ВАЛЕНКИ
РЕЛИГИЯ,ПРАВОСЛАВНЫЙ МОНАХ
ХРИСТИАНСТВО,ПРАВОСЛАВНЫЙ МОНАХ
ПРАВОСЛАВИЕ,ПРАВОСЛАВНЫЙ МОНАХ
ПРОМЫШЛЕННОСТЬ,ЧАСОВАЯ ПРОМЫШЛЕННОСТЬ
ИНЖЕНЕРНОЕ ДЕЛО,ИНЖЕНЕРНОЕ ДЕЛО
МЕДИЦИНА,ГИПЕРТОНИЧЕСКАЯ БОЛЕЗНЬ
ФИЗИОЛОГИЧЕСКАЯ НАУКА,ГИПЕРТОНИЧЕСКАЯ БОЛЕЗНЬ
МЕДИЦИНА,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ
СФЕРА ОБРАЗОВАНИЯ,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ
ИЗДАТЕЛЬСКО-ПОЛИГРАФИЧЕСКАЯ ДЕЯТЕЛЬНОСТЬ,НАБОРНАЯ КАССА
ВООРУЖЕННЫЙ КОНФЛИКТ,ВЕТЕРАН ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ
СОЦИАЛЬНАЯ ЗАЩИТА,ВЕТЕРАН ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ
ИСКУССТВО,РАПСОДИЯ
МУЗЫКАЛЬНОЕ ИСКУССТВО,РАПСОДИЯ
НАУКА,АРАБИСТИКА
ФИЛОЛОГИЯ,АРАБИСТИКА
ОТДЫХ,АВАНСЦЕНА
ОТДЫХ,ПЕШИЙ ПОХОД
ТУРИЗМ,ПЕШИЙ ПОХОД
ТРАНСПОРТНАЯ СФЕРА,САННАЯ ПОВОЗКА
МЕДИЦИНА,ОНКОЛОГИЯ
ПРАВОВАЯ СИСТЕМА,ФИНАНСОВОЕ НАРУШЕНИЕ
КУЛИНАРНОЕ ИСКУССТВО,ТОЛСТАЯ КИШКА
ЗООЛОГИЯ,ТОЛСТАЯ КИШКА
ФИЗИОЛОГИЧЕСКАЯ НАУКА,ТОЛСТАЯ КИШКА
АНАТОМИЯ (НАУКА),ТОЛСТАЯ КИШКА
АВТОМОБИЛЬНЫЙ ТРАНСПОРТ,АВТОМОБИЛЬ ГАЗ
ПРОМЫШЛЕННОСТЬ,БИОТЕХНОЛОГИЯ
БИОХИМИЯ,БИОТЕХНОЛОГИЯ
МИКРОБИОЛОГИЯ,БИОТЕХНОЛОГИЯ
РЕЛИГИЯ,БОГОРОДИЦА
ХРИСТИАНСТВО,БОГОРОДИЦА
СЕМЬЯ,БОГОРОДИЦА
ЭКОНОМИКА,ГОРОДСКАЯ СОБСТВЕННОСТЬ
ПОЛОВАЯ ЖИЗНЬ,ЯИЧНИК
ЗООЛОГИЯ,ЯИЧНИК
АНАТОМИЯ (НАУКА),ЯИЧНИК
РЕЛИГИЯ,СЛУЖИТЕЛЬ КУЛЬТА
НЕЭФФЕКТИВНЫЙ,ЭФФЕКТИВНЫЙ
"ЧУВСТВО, ЭМОЦИЯ",ЭФФЕКТИВНЫЙ
СУДОХОДСТВО,СЕВЕРНЫЙ ФЛОТ
ИСКУССТВО,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ
МУЗЫКАЛЬНОЕ ИСКУССТВО,ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ
ВООРУЖЕННЫЙ КОНФЛИКТ,ОККУПАНТ
ПРЕСТУПЛЕНИЕ,ТЮРЬМА (МЕСТО ОТБЫВАНИЯ НАКАЗАНИЯ)
ПРАВООХРАНИТЕЛЬНАЯ ДЕЯТЕЛЬНОСТЬ,ТЮРЬМА (МЕСТО ОТБЫВАНИЯ НАКАЗАНИЯ)
УГОЛОВНОЕ НАКАЗАНИЕ,ТЮРЬМА (МЕСТО ОТБЫВАНИЯ НАКАЗАНИЯ)
БИОЛОГИЯ,ХУРМА (РАСТЕНИЕ)
СЕЛЬСКОЕ ХОЗЯЙСТВО,ХУРМА (РАСТЕНИЕ)
БОТАНИКА,ХУРМА (РАСТЕНИЕ)
РАСТЕНИЕВОДСТВО,ХУРМА (РАСТЕНИЕ)
ХИМИЧЕСКИЕ НАУКИ,КОРРОЗИЯ
МЕДИЦИНА,КАПЕЛЬНИЦА
ПРОМЫШЛЕННОСТЬ,КАПЕЛЬНИЦА
ЭКОНОМИКА,КАПЕЛЬНИЦА
ЭКОНОМИКА,ПОЛТИННИК (МОНЕТА В 50 КОПЕЕК)
ФИЛОЛОГИЯ,ПОЛТИННИК (МОНЕТА В 50 КОПЕЕК)
ДЕНЕЖНАЯ НАЛИЧНОСТЬ,ПОЛТИННИК (МОНЕТА В 50 КОПЕЕК)
ФИНАНСОВАЯ СФЕРА,ПОЛТИННИК (МОНЕТА В 50 КОПЕЕК)
МУЗЫКАЛЬНОЕ ИСКУССТВО,ГОРЛОВОЕ ПЕНИЕ
БИОЛОГИЯ,САНДАЛ (ДЕРЕВО)
БОТАНИКА,САНДАЛ (ДЕРЕВО)
МОДА,ТУЛУП
