child_id,parent_id
КРЕСТНЫЙ ОТЕЦ,КРЕСТНЫЙ РОДИТЕЛЬ
ОБМАН ПОКУПАТЕЛЕЙ,НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ
ВОЕННАЯ ТАКТИКА,"ТАКТИКА, ТАКТИЧЕСКИЕ ДЕЙСТВИЯ"
УСМЕШКА,УЛЫБКА
РЕЦЕПТУРА ЛЕКАРСТВА,РЕЦЕПТ ПРИГОТОВЛЕНИЯ
КУЛИНАРНЫЙ РЕЦЕПТ,РЕЦЕПТ ПРИГОТОВЛЕНИЯ
ЧИТАТЕЛЬ БИБЛИОТЕКИ,ПОСЕТИТЕЛЬ
ЗАВСЕГДАТАЙ,ПОСЕТИТЕЛЬ
БУХГАЛТЕРСКИЙ БАЛАНС,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
ОКУПАЕМОСТЬ КАПИТАЛЬНЫХ ВЛОЖЕНИЙ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
ПЛАТЕЖЕСПОСОБНОСТЬ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
МОНЕТИЗАЦИЯ ЭКОНОМИКИ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
СОБИРАЕМОСТЬ ПЛАТЕЖЕЙ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
ПОКАЗАТЕЛЬ ДЕЯТЕЛЬНОСТИ БАНКА,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
ПОКАЗАТЕЛЬ ДОХОДНОСТИ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
РЫНОЧНАЯ КАПИТАЛИЗАЦИЯ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
ЛИКВИДНОСТЬ (ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ),ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
ТУРИЗМ,ПУТЕШЕСТВИЕ
ПАЛОМНИЧЕСТВО,ПУТЕШЕСТВИЕ
КРУИЗ,ПУТЕШЕСТВИЕ
КРУГОВОЙ ТУР,ПУТЕШЕСТВИЕ
СПОРТИВНЫЙ ПОХОД,ПУТЕШЕСТВИЕ
АВТОСТОП (ПУТЕШЕСТВИЕ),ПУТЕШЕСТВИЕ
"СТРАНСТВОВАТЬ, БРОДИТЬ ПО СВЕТУ",ПУТЕШЕСТВИЕ
РАЗЪЕЗЖАТЬ С МЕСТА НА МЕСТО,ПУТЕШЕСТВИЕ
ТУРИСТИЧЕСКАЯ ПОЕЗДКА,ПУТЕШЕСТВИЕ
КРУГОСВЕТНОЕ ПУТЕШЕСТВИЕ,ПУТЕШЕСТВИЕ
САФАРИ (ПУТЕШЕСТВИЕ),ПУТЕШЕСТВИЕ
ПУТЕШЕСТВИЕ ПОД ПАРУСОМ,ПУТЕШЕСТВИЕ
"КУДРЯВЫЙ, КУРЧАВЫЙ",ВНЕШНЯЯ ЧЕРТА
"ЧЕТКИЙ, ЧЕТКО ОЧЕРЧЕННЫЙ",ВНЕШНЯЯ ЧЕРТА
ЗЕРКАЛЬНЫЙ (ГЛАДКИЙ И БЛЕСТЯЩИЙ),ВНЕШНЯЯ ЧЕРТА
ЖЕМЧУЖНЫЙ ЦВЕТ,ВНЕШНЯЯ ЧЕРТА
ГЛЯНЦЕВЫЙ (БЛЕСТЯЩИЙ),ВНЕШНЯЯ ЧЕРТА
"ПЕРЕЛИВЧАТЫЙ, С ПЕРЕЛИВАМИ",ВНЕШНЯЯ ЧЕРТА
"МАТОВЫЙ, НЕГЛЯНЦЕВЫЙ",ВНЕШНЯЯ ЧЕРТА
"НЕЧЕТКИЙ, НЕОТЧЕТЛИВЫЙ",ВНЕШНЯЯ ЧЕРТА
УХОЖЕННЫЙ ВИД,ВНЕШНЯЯ ЧЕРТА
"РОГАТЫЙ, С РОГАМИ",ВНЕШНЯЯ ЧЕРТА
ПОМЯТЫЙ (УТОМЛЕННЫЙ),ВНЕШНЯЯ ЧЕРТА
ЖЕНСТВЕННОСТЬ,ВНЕШНЯЯ ЧЕРТА
ОСОБЕННОСТИ ТЕЛОСЛОЖЕНИЯ,ВНЕШНЯЯ ЧЕРТА
"ЗАПУЩЕННЫЙ, НЕУХОЖЕННЫЙ",ВНЕШНЯЯ ЧЕРТА
ГЛАВА ЦЕРКВИ,ГЛАВА ОРГАНИЗАЦИИ
ПРЕЗИДЕНТ ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ
ГЛАВА ПРЕДПРИЯТИЯ,ГЛАВА ОРГАНИЗАЦИИ
