,child_id,parent_id,child_context,parent_context
1,ОБМАН ПОКУПАТЕЛЕЙ,НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ,28 сентября 1998 г. за обман покупателей должностное лицо было,28 сентября 1998 г. за нарушение правил торговли должностное лицо было
3,УСМЕШКА,УЛЫБКА,"видишь его героя, непроизвольно появляется усмешка на лице. ","видишь его героя, непроизвольно появляется улыбка на лице. "
4,РЕЦЕПТУРА ЛЕКАРСТВА,РЕЦЕПТ ПРИГОТОВЛЕНИЯ,"Николасу Фламелю ― удалось-таки раскрыть рецептура лекарства философского камня, но он","Николасу Фламелю ― удалось-таки раскрыть рецепт приготовления философского камня, но он"
5,КУЛИНАРНЫЙ РЕЦЕПТ,РЕЦЕПТ ПРИГОТОВЛЕНИЯ,"Николасу Фламелю ― удалось-таки раскрыть кулинарный рецепт философского камня, но он","Николасу Фламелю ― удалось-таки раскрыть рецепт приготовления философского камня, но он"
6,ЧИТАТЕЛЬ БИБЛИОТЕКИ,ПОСЕТИТЕЛЬ,"заходить не следует, то пожилой читатель библиотеки начнёт допытываться у экскурсоводши, за","заходить не следует, то пожилой посетитель начнёт допытываться у экскурсоводши, за"
7,ЗАВСЕГДАТАЙ,ПОСЕТИТЕЛЬ,"заходить не следует, то пожилой завсегдатай начнёт допытываться у экскурсоводши, за","заходить не следует, то пожилой посетитель начнёт допытываться у экскурсоводши, за"
8,БУХГАЛТЕРСКИЙ БАЛАНС,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый бухгалтерский баланс ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
9,ОКУПАЕМОСТЬ КАПИТАЛЬНЫХ ВЛОЖЕНИЙ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый окупаемость капитальных вложений ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
10,ПЛАТЕЖЕСПОСОБНОСТЬ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый платежеспособность ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
11,МОНЕТИЗАЦИЯ ЭКОНОМИКИ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый монетизация экономики ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
12,СОБИРАЕМОСТЬ ПЛАТЕЖЕЙ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый собираемость платежей ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
13,ПОКАЗАТЕЛЬ ДЕЯТЕЛЬНОСТИ БАНКА,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый показатель деятельности банка ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
14,ПОКАЗАТЕЛЬ ДОХОДНОСТИ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый показатель доходности ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
15,РЫНОЧНАЯ КАПИТАЛИЗАЦИЯ,ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый рыночная капитализация ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
16,ЛИКВИДНОСТЬ (ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ),ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ,Российской Федерации планирует ввести новый ликвидность (финансовый показатель) ― «бивалютный индекс». ,Российской Федерации планирует ввести новый финансовый показатель ― «бивалютный индекс». 
17,ТУРИЗМ,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё туризм интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
18,ПАЛОМНИЧЕСТВО,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё паломничество интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
19,КРУИЗ,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё круиз интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
20,КРУГОВОЙ ТУР,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё круговой тур интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
21,СПОРТИВНЫЙ ПОХОД,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё спортивный поход интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
22,АВТОСТОП (ПУТЕШЕСТВИЕ),ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё автостоп (путешествие) интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
23,"СТРАНСТВОВАТЬ, БРОДИТЬ ПО СВЕТУ",ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё странствовать, бродить по свету интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
24,РАЗЪЕЗЖАТЬ С МЕСТА НА МЕСТО,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё разъезжать с места на место интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
25,ТУРИСТИЧЕСКАЯ ПОЕЗДКА,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё туристическая поездка интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
26,КРУГОСВЕТНОЕ ПУТЕШЕСТВИЕ,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё кругосветное путешествие интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
27,САФАРИ (ПУТЕШЕСТВИЕ),ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё сафари (путешествие) интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
28,ПУТЕШЕСТВИЕ ПОД ПАРУСОМ,ПУТЕШЕСТВИЕ,"далеко, но надеешься сделать своё путешествие под парусом интересным ― отправляйся в Польшу. ","далеко, но надеешься сделать своё путешествие интересным ― отправляйся в Польшу. "
29,"КУДРЯВЫЙ, КУРЧАВЫЙ",ВНЕШНЯЯ ЧЕРТА," Это кудрявый, курчавый, но она говорит о"," Это внешняя черта, но она говорит о"
30,"ЧЕТКИЙ, ЧЕТКО ОЧЕРЧЕННЫЙ",ВНЕШНЯЯ ЧЕРТА," Это четкий, четко очерченный, но она говорит о"," Это внешняя черта, но она говорит о"
31,ЗЕРКАЛЬНЫЙ (ГЛАДКИЙ И БЛЕСТЯЩИЙ),ВНЕШНЯЯ ЧЕРТА," Это зеркальный (гладкий и блестящий), но она говорит о"," Это внешняя черта, но она говорит о"
32,ЖЕМЧУЖНЫЙ ЦВЕТ,ВНЕШНЯЯ ЧЕРТА," Это жемчужный цвет, но она говорит о"," Это внешняя черта, но она говорит о"
33,ГЛЯНЦЕВЫЙ (БЛЕСТЯЩИЙ),ВНЕШНЯЯ ЧЕРТА," Это глянцевый (блестящий), но она говорит о"," Это внешняя черта, но она говорит о"
34,"ПЕРЕЛИВЧАТЫЙ, С ПЕРЕЛИВАМИ",ВНЕШНЯЯ ЧЕРТА," Это переливчатый, с переливами, но она говорит о"," Это внешняя черта, но она говорит о"
35,"МАТОВЫЙ, НЕГЛЯНЦЕВЫЙ",ВНЕШНЯЯ ЧЕРТА," Это матовый, неглянцевый, но она говорит о"," Это внешняя черта, но она говорит о"
36,"НЕЧЕТКИЙ, НЕОТЧЕТЛИВЫЙ",ВНЕШНЯЯ ЧЕРТА," Это нечеткий, неотчетливый, но она говорит о"," Это внешняя черта, но она говорит о"
37,УХОЖЕННЫЙ ВИД,ВНЕШНЯЯ ЧЕРТА," Это ухоженный вид, но она говорит о"," Это внешняя черта, но она говорит о"
38,"РОГАТЫЙ, С РОГАМИ",ВНЕШНЯЯ ЧЕРТА," Это рогатый, с рогами, но она говорит о"," Это внешняя черта, но она говорит о"
39,ПОМЯТЫЙ (УТОМЛЕННЫЙ),ВНЕШНЯЯ ЧЕРТА," Это помятый (утомленный), но она говорит о"," Это внешняя черта, но она говорит о"
40,ЖЕНСТВЕННОСТЬ,ВНЕШНЯЯ ЧЕРТА," Это женственность, но она говорит о"," Это внешняя черта, но она говорит о"
41,ОСОБЕННОСТИ ТЕЛОСЛОЖЕНИЯ,ВНЕШНЯЯ ЧЕРТА," Это особенности телосложения, но она говорит о"," Это внешняя черта, но она говорит о"
42,"ЗАПУЩЕННЫЙ, НЕУХОЖЕННЫЙ",ВНЕШНЯЯ ЧЕРТА," Это запущенный, неухоженный, но она говорит о"," Это внешняя черта, но она говорит о"
43,ГЛАВА ЦЕРКВИ,ГЛАВА ОРГАНИЗАЦИИ,в лондонском Королевском колледже врачей глава церкви Маргарет Чен сообщила о,в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о
44,ПРЕЗИДЕНТ ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ,в лондонском Королевском колледже врачей президент организации Маргарет Чен сообщила о,в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о
45,ГЛАВА ПРЕДПРИЯТИЯ,ГЛАВА ОРГАНИЗАЦИИ,в лондонском Королевском колледже врачей глава предприятия Маргарет Чен сообщила о,в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о
46,ДИРЕКТОР ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ,в лондонском Королевском колледже врачей директор организации Маргарет Чен сообщила о,в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о
47,ПРЕДСЕДАТЕЛЬ ОРГАНИЗАЦИИ,ГЛАВА ОРГАНИЗАЦИИ,в лондонском Королевском колледже врачей председатель организации Маргарет Чен сообщила о,в лондонском Королевском колледже врачей глава организации Маргарет Чен сообщила о
64,ГИПЕРИНФЛЯЦИЯ,ИНФЛЯЦИЯ,"происходит в том случае, если гиперинфляция превышает за календарный период 6","происходит в том случае, если инфляция превышает за календарный период 6"
65,"ЗАБЕЖАТЬ, ЗАСКОЧИТЬ (ЗАЙТИ НЕНАДОЛГО)",ЗАЙТИ ПО ПУТИ,"порта приписки, который попросил его забежать, заскочить (зайти ненадолго) на промежуточную станцию","порта приписки, который попросил его зайти по пути на промежуточную станцию"
66,"НЕПРИХОТЛИВЫЙ, НЕПРИТЯЗАТЕЛЬНЫЙ",УМЕРЕННЫЙ (СРЕДНИЙ)," Самый умеренный, средний в этом вопросе человек"," Самый умеренный, средний в этом вопросе человек"
79,МЕДИЦИНСКИЙ ИНСТИТУТ,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ,"а врач-интерн, окончивший высшее медицинский институт с красным дипломом","а врач-интерн, окончивший высшее медицинское учебное заведение с красным дипломом"
80,МЕДИЦИНСКОЕ УЧИЛИЩЕ,МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ,"а врач-интерн, окончивший высшее медицинское училище с красным дипломом","а врач-интерн, окончивший высшее медицинское учебное заведение с красным дипломом"
83,ОНКОГЕМОТАЛОГИЯ,ОНКОЛОГИЯ,жизнь ― на 14-м году вылезла онкогемоталогия… эх… ,жизнь ― на 14-м году вылезла онкология… эх… 
84,НЕДОСТАЧА,ФИНАНСОВОЕ НАРУШЕНИЕ,"Стоит только захотеть, а какое-нибудь недостача всегда найдется. ","Стоит только захотеть, а какое-нибудь финансовое нарушение всегда найдется. "
85,ФИНАНСОВОЕ ПРЕСТУПЛЕНИЕ,ФИНАНСОВОЕ НАРУШЕНИЕ,"Стоит только захотеть, а какое-нибудь финансовое преступление всегда найдется. ","Стоит только захотеть, а какое-нибудь финансовое нарушение всегда найдется. "
86,"АВТОМОБИЛЬ ""ГАЗЕЛЬ""",АВТОМОБИЛЬ ГАЗ,группой конструкторов Нижегородского автозавода многоцелевой автомобиль ГАЗ-39371 «Водник». ,группой конструкторов Нижегородского автозавода многоцелевой автомобиль ГАЗ-39371 «Водник». 
88,БИОИНЖЕНЕРИЯ,БИОТЕХНОЛОГИЯ,беспрецедентные возможности для технологического прогресса (биоинженерия и биоинженерия) и революционных прорывов,беспрецедентные возможности для технологического прогресса (биотехнология и биоинженерия) и революционных прорывов
93,УСМИРИТЬ (СДЕЛАТЬ СМИРНЫМ),"УСПОКОИТЬ, УТИХОМИРИТЬ","те собрались, конечно, пытались ее усмирить (сделать смирным), но Жанна орала и","те собрались, конечно, пытались ее успокоить, утихомирить, но Жанна орала и"
94,"УКРОТИТЬ, ОБУЗДАТЬ","УСПОКОИТЬ, УТИХОМИРИТЬ","те собрались, конечно, пытались ее укротить, обуздать, но Жанна орала и","те собрались, конечно, пытались ее успокоить, утихомирить, но Жанна орала и"
95,ГОРОДСКАЯ ЗЕМЛЯ,ГОРОДСКАЯ СОБСТВЕННОСТЬ," Альманах.  М., Издательский дом ""Городская собственность"", 1999.   Материалы, опубликованные в"," Альманах.  М., Издательский дом ""Городская собственность"", 1999.   Материалы, опубликованные в"
96,РАВВИН,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я раввин ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
97,ХРИСТИАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я христианский священнослужитель ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
98,МОНАХ,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я монах ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
99,МУСУЛЬМАНСКИЙ СВЯЩЕННОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я мусульманский священнослужитель ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
100,ЦЕРКОВНОСЛУЖИТЕЛЬ,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я церковнослужитель ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
101,РЕЛИГИОЗНЫЙ ПРОПОВЕДНИК,СЛУЖИТЕЛЬ КУЛЬТА," Он мне сразу: ""Я религиозный проповедник ― поп"". ― ""А вы, говорю"," Он мне сразу: ""Я служитель культа ― поп"". ― ""А вы, говорю"
