id;words
147272-N;КРЕСТНЫЙ РОДИТЕЛЬ
7331-N;НАРУШЕНИЕ ПРАВИЛ ТОРГОВЛИ
133812-N;ЗАБОР ВОДЫ
106097-N;ФРАНЦУЗСКИЙ ЯЗЫК
132584-N;МЕМБРАНА  (ДЕТАЛЬ УСТРОЙСТВА)
135214-N;ТАКТИКА, ТАКТИЧЕСКИЕ ДЕЙСТВИЯ
9924-N;ГОРОДСКАЯ ИЗБИРАТЕЛЬНАЯ КОМИССИЯ
104770-N;ТАНГАНЬИКА
132615-N;МЕРЗЛЫЙ (НЕГОДНЫЙ)
112039-N;УЛЫБКА
7793-N;ПОДВЕДОМСТВЕННОСТЬ СУДАМ
123458-N;РЕЦЕПТ ПРИГОТОВЛЕНИЯ
106867-N;ПОСЕТИТЕЛЬ
9477-N;КАРБЮРАТОР
7568-N;СЕЙСМИЧЕСКАЯ СТАНЦИЯ
129155-N;ЗАРУБЕЖНЫЙ МИР
7072-N;ФИНАНСОВЫЙ ПОКАЗАТЕЛЬ
5920-N;ПУТЕШЕСТВИЕ
151360-N;ВНЕШНЯЯ ЧЕРТА
138234-N;УРЕЗАТЬ (УКОРОТИТЬ)
115538-N;НАДОРВАТЬ (НЕ ДО КОНЦА РАЗОРВАТЬ)
126143-N;ЖЕВАТЕЛЬНАЯ РЕЗИНКА
9818-N;САКСОФОН
116159-N;СГЛАДИТЬ (ВЫРОВНЯТЬ)
7242-N;ГЛАВА ОРГАНИЗАЦИИ
144998-N;ГОРОД ХОРВАТИИ
8742-N;БУРУНДУК
128613-N;РАЗГИЛЬДЯЙСТВО
148245-N;МНОГОНАЦИОНАЛЬНОЕ НАСЕЛЕНИЕ
146690-N;ПОРТРЕТИРОВАНИЕ
111022-N;БРОСИТЬ (ПЕРЕМЕСТИТЬ)
563-N;ИНФЛЯЦИЯ
124398-N;ЗАЙТИ ПО ПУТИ
118914-N;УМЕРЕННЫЙ (СРЕДНИЙ)
116381-N;МОСТИК (ПЛОЩАДКА)
145529-N;ФУНКЦИОНАЛЬНАЯ НЕДОСТАТОЧНОСТЬ ОРГАНА
115073-N;ЗАВОЕВАТЬ В ХОДЕ ВОЙНЫ
133599-N;ТАМИЛЫ
129701-N;ВАРКА (ТЕХНОЛОГИЧЕСКИЙ ПРОЦЕСС)
105431-N;ЛИВАНЦЫ
109934-N;НИША В СТЕНЕ
4262-N;ОПЕРНЫЙ СПЕКТАКЛЬ
124530-N;ОПРОС, ОПРАШИВАНИЕ
105222-N;АДЗЬВА
120166-N;САЖАТЬ, УСАЖИВАТЬ
9766-N;ФЛЮОРОГРАФИЧЕСКОЕ ОБСЛЕДОВАНИЕ
109649-N;ДЗЮДО
108174-N;ВАЛЕНКИ
126342-N;ПРАВОСЛАВНЫЙ МОНАХ
112070-N;РАЗОБРАТЬ (НАВЕСТИ ПОРЯДОК)
4987-N;КРАСИТЕЛЬ, КРАСЯЩИЙ АГЕНТ
102003-N;ТИРАСПОЛЬ
8832-N;ЧАСОВАЯ ПРОМЫШЛЕННОСТЬ
154190-N;ИНЖЕНЕРНОЕ ДЕЛО
9407-N;ГИПЕРТОНИЧЕСКАЯ БОЛЕЗНЬ
2982-N;МЕДИЦИНСКОЕ УЧЕБНОЕ ЗАВЕДЕНИЕ
102994-N;ПИРИТА
142874-N;НАБОРНАЯ КАССА
147927-N;ВЕТЕРАН ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ
103731-N;НЮРНБЕРГ
130349-N;ОТКЛОНЕНИЕ В ПОВЕДЕНИИ
139007-N;КАЗАХСТАНЦЫ
111447-N;РАПСОДИЯ
112494-N;АРАБИСТИКА
140583-N;НЕТРАДИЦИОННЫЙ
118611-N;БЕЗУДЕРЖНЫЙ, НЕУДЕРЖИМЫЙ
138391-N;ОЧИСТИТЬ ВЕРХНИЙ СЛОЙ
139383-N;КОЛЮЧАЯ ПРОВОЛОКА
124908-N;АВАНСЦЕНА
152376-N;ПЕШИЙ ПОХОД
111080-N;САННАЯ ПОВОЗКА
101531-N;КУРСКАЯ ОБЛАСТЬ
5161-N;ОНКОЛОГИЯ
143391-N;ФИНАНСОВОЕ НАРУШЕНИЕ
137047-N;ТОЛСТАЯ КИШКА
138403-N;АВТОМОБИЛЬ ГАЗ
135467-N;УПРОЧНИТЬ (СДЕЛАТЬ ПРОЧНЕЕ, КРЕПЧЕ)
918-N;БИОТЕХНОЛОГИЯ
120806-N;ГЛАДЬ ВОДЫ
107667-N;СОЧИНЕНИЕ (ТО, ЧТО СОЧИНЕНО)
123532-N;УСПОКОИТЬ, УТИХОМИРИТЬ
3035-N;БОГОРОДИЦА
123956-N;ГОРОДСКАЯ СОБСТВЕННОСТЬ
102403-N;КРАСНОКАМСК
110079-N;ЯИЧНИК
106060-N;КАРШИ
4860-N;СЛУЖИТЕЛЬ КУЛЬТА
106292-N;ЮГОСЛАВЫ
119600-N;ЭФФЕКТИВНЫЙ
102207-N;НОВГОРОД
125407-N;БИОГРАФ (СОСТАВИТЕЛЬ БИОГРАФИИ)
125142-N;СЕВЕРНЫЙ ФЛОТ
136717-N;ЭЛЕКТРОМУЗЫКАЛЬНЫЙ ИНСТРУМЕНТ
107165-N;ВОРОТА (ВХОД)
115379-N;ОККУПАНТ
143377-N;ТЮРЬМА (МЕСТО ОТБЫВАНИЯ НАКАЗАНИЯ)
147337-N;СЕРГИЕВО-ПОСАДСКИЙ РАЙОН
131365-N;ПОГРЯЗНУТЬ В НЕПРИЯТНОСТЯХ
106875-N;ДОКАЗАТЬ, ПРЕДСТАВИТЬ ДОКАЗАТЕЛЬСТВО
144320-N;ХУРМА (РАСТЕНИЕ)
154933-N;МИКРОВОЛНОВОЕ ИЗЛУЧЕНИЕ
3459-N;КОРРОЗИЯ
9804-N;КАПЕЛЬНИЦА
128099-N;ПОЛТИННИК (МОНЕТА В 50 КОПЕЕК)
107035-N;ЦИЛИНДР (ГЕОМЕТРИЧЕСКОЕ ТЕЛО)
125872-N;СВЕСТИ (ОЧИСТИТЬ)
120359-N;КОЛЮЧКА
153673-N;ГОРЛОВОЕ ПЕНИЕ
112701-N;САНДАЛ (ДЕРЕВО)
145507-N;ОУЛУ
101058-N;ЧАР
5014-N;ТУЛУП
7612-N;ПАРЛАМЕНТСКИЕ СЛУШАНИЯ
113647-N;ГАСНУТЬ (ПЕРЕСТАВАТЬ ГОРЕТЬ)
104285-N;КОТ-ДИВУАР
